Team 1,Team 2,Winner,Margin,Ground,Match Date,Year,Scorecard
RCB,Royals,RCB,7 wickets,Bengaluru,04-20-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598023.html
Daredevils,Mum Indians,Daredevils,9 wickets,Delhi,04-21-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598024.html
Kings XI,Warriors,Kings XI,7 wickets,Mohali,04-21-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598025.html
Super Kings,Royals,Super Kings,5 wickets,Chennai,04-22-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598026.html
RCB,Warriors,RCB,130 runs,Bengaluru,04-23-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598027.html
Daredevils,Kings XI,Kings XI,5 wickets,Delhi,04-23-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598059.html
KKR,Mum Indians,Mum Indians,5 wickets,Kolkata,04-24-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598029.html
Super Kings,Sunrisers,Super Kings,5 wickets,Chennai,04-25-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598030.html
KKR,Kings XI,KKR,6 wickets,Kolkata,04-26-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598031.html
Royals,Sunrisers,Royals,8 wickets,Jaipur,04-27-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598032.html
Mum Indians,RCB,Mum Indians,58 runs,Mumbai,04-27-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598033.html
Super Kings,KKR,Super Kings,14 runs,Chennai,04-28-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598034.html
Daredevils,Warriors,Daredevils,15 runs,Raipur,04-28-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598035.html
Royals,RCB,Royals,4 wickets,Jaipur,04-29-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598036.html
Mum Indians,Kings XI,Mum Indians,4 runs,Mumbai,04-29-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598037.html
Warriors,Super Kings,Super Kings,37 runs,Pune,04-30-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598038.html
Sunrisers,Mum Indians,Sunrisers,7 wickets,Hyderabad (Deccan),05-01-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598039.html
Daredevils,KKR,Daredevils,7 wickets,Raipur,05-01-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598040.html
Super Kings,Kings XI,Super Kings,15 runs,Chennai,05-02-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598041.html
Warriors,RCB,RCB,17 runs,Pune,05-02-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598042.html
KKR,Royals,KKR,8 wickets,Kolkata,05-03-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598043.html
Sunrisers,Daredevils,Sunrisers,6 wickets,Hyderabad (Deccan),05-04-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598044.html
Mum Indians,Super Kings,Mum Indians,60 runs,Mumbai,05-05-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598046.html
Royals,Warriors,Royals,5 wickets,Jaipur,05-05-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598047.html
Kings XI,RCB,Kings XI,6 wickets,Mohali,05-06-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598064.html
Royals,Daredevils,Royals,9 wickets,Jaipur,05-07-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598049.html
Mum Indians,KKR,Mum Indians,65 runs,Mumbai,05-07-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598050.html
Sunrisers,Super Kings,Super Kings,77 runs,Hyderabad (Deccan),05-08-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598051.html
Kings XI,Royals,Royals,8 wickets,Mohali,05-09-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598052.html
Warriors,KKR,KKR,46 runs,Pune,05-09-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598053.html
Daredevils,RCB,RCB,4 runs,Delhi,05-10-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598054.html
Warriors,Mum Indians,Mum Indians,5 wickets,Pune,05-11-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598055.html
Kings XI,Sunrisers,Sunrisers,30 runs,Mohali,05-11-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598056.html
KKR,RCB,KKR,5 wickets,Ranchi,05-12-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598057.html
Royals,Super Kings,Royals,5 wickets,Jaipur,05-12-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598058.html
Mum Indians,Sunrisers,Mum Indians,7 wickets,Mumbai,05-13-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598060.html
RCB,Kings XI,Kings XI,7 wickets,Bengaluru,05-14-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598045.html
Super Kings,Daredevils,Super Kings,33 runs,Chennai,05-14-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598062.html
KKR,Warriors,Warriors,7 runs,Ranchi,05-15-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598061.html
Mum Indians,Royals,Mum Indians,14 runs,Mumbai,05-15-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598063.html
Kings XI,Daredevils,Kings XI,7 runs,Dharamsala,05-16-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598028.html
Sunrisers,Royals,Sunrisers,23 runs,Hyderabad (Deccan),05-17-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598065.html
Kings XI,Mum Indians,Kings XI,50 runs,Dharamsala,05-18-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598066.html
RCB,Super Kings,RCB,24 runs,Bengaluru,05-18-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598068.html
Warriors,Daredevils,Warriors,38 runs,Pune,05-19-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598067.html
Sunrisers,KKR,Sunrisers,5 wickets,Hyderabad (Deccan),05-19-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598069.html
Super Kings,Mum Indians,Super Kings,48 runs,Delhi,05-21-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598070.html
Royals,Sunrisers,Royals,4 wickets,Delhi,05-22-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598071.html
Mum Indians,Royals,Mum Indians,4 wickets,Kolkata,05-24-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598072.html
Super Kings,Mum Indians,Mum Indians,23 runs,Kolkata,05-26-2013,2013,http://stats.espncricinfo.com/indian-premier-league-2013/engine/match/598073.html
Super Kings,Mum Indians,Mum Indians,8 wickets,Chennai,04-04-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548306.html
KKR,Daredevils,Daredevils,8 wickets,Kolkata,04-05-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548307.html
Mum Indians,Warriors,Warriors,28 runs,Mumbai,04-06-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548308.html
Royals,Kings XI,Royals,31 runs,Jaipur,04-06-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548309.html
RCB,Daredevils,RCB,20 runs,Bengaluru,04-07-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548310.html
Chargers,Super Kings,Super Kings,74 runs,Visakhapatnam,04-07-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548311.html
Royals,KKR,Royals,22 runs,Jaipur,04-08-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548312.html
Warriors,Kings XI,Warriors,22 runs,Pune,04-08-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548313.html
Chargers,Mum Indians,Mum Indians,5 wickets,Visakhapatnam,04-09-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548314.html
RCB,KKR,KKR,42 runs,Bengaluru,04-10-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548315.html
Daredevils,Super Kings,Daredevils,8 wickets,Delhi,04-10-2012,2012,http://stats.espncricinfo.com/indian-premier-league-2012/engine/match/548316.html
